LncRNA	GenBank	GenBank Link	NONCODE ID	NONCODE Link	Phenotype	OMIM ID	OMIM Link	Enviromental Factor (EF)	KEGG Entry	KEGG Link	DrugBank Entry	DrugBank Link	ChEBI Entry	ChEBI Link	Condition of EF	Sample	Species	Evidence	PubMed ID	PumMed Link		
2900055J20Rik	NR_045177.1	https://www.ncbi.nlm.nih.gov/nuccore/NR_045177.1	N/A	N/A	Left ventricular Hypertrophy	N/A	N/A	JQ1	N/A	N/A	N/A	N/A	137113	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:137113	JQ1 treatment	Wild-type and adenosine A2A receptor overexpressing mice	Mouse	Cardioprotective drug JQ1 decreased 2900055J20Rik and Gm14005 expression by 2.2- and 1.6-fold.	25382655	https://www.ncbi.nlm.nih.gov/pubmed/?term=25382655		
AB072248	AB072248	https://www.ncbi.nlm.nih.gov/nuccore/AB072248	N/A	N/A	Lung Fibrosis	178500	http://www.omim.org/entry/178500?search=Lung%20Fibrosis&highlight=pulmonary%20lung%20fibrosi%20pulmonic	Bleomycin	C06854	http://www.genome.jp/dbget-bin/www_bget?cpd:C06854	DB00290	https://www.drugbank.ca/drugs/DB00290	22907	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=22907	Bleomycin treatment (5 mg/kg)	Sprague Dawley (SD) rats	Mouse	down-regulated	23732278	https://www.ncbi.nlm.nih.gov/pubmed/?term=23732278		
ABCC6P1	NR_003569.1	https://www.ncbi.nlm.nih.gov/nuccore/NR_003569.1	NONHSAT140847.2	http://www.noncode.org/show_rna.php?id=NONHSAT140847&version=2&utd=1#	Lung Squamous Cell Carcinoma	211980	http://www.omim.org/entry/211980?search=Lung%20Squamous%20Cell%20Carcinoma&highlight=carcinomatous%20cell%20squamous%20lung%20carcinoma%20pulmonary%20pulmonic	Cisplatin	C06911	http://www.kegg.jp/dbget-bin/www_bget?C06911	DB00515	https://www.drugbank.ca/drugs/DB00515	27899	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27899	Cisplatin treatment	Lung SCC patients	Human	up-regulated	25250788	https://www.ncbi.nlm.nih.gov/pubmed/?term=25250788		
AC005682.8	AC005682.8	https://www.ncbi.nlm.nih.gov/nuccore/AC005682.8	N/A	N/A	Osteoarthritis	140600	http://www.omim.org/entry/140600?search=Osteoarthritis&highlight=osteoarthriti	Interleukin-1¦Â (IL-1¦Â)	N/A	N/A	N/A	N/A	N/A	N/A	Interleukin-1¦Â (IL-1¦Â) stimulation	patients with hip OA, knee OA and fracture of the neck of the femur without OA.	Human	up-regulated	27023358	https://www.ncbi.nlm.nih.gov/pubmed/?term=27023358		
AC006050.3	AC006050.3	https://www.ncbi.nlm.nih.gov/nuccore/AC006050.3	N/A	N/A	Lung Squamous Cell Carcinoma	211980	http://www.omim.org/entry/211980?search=Lung%20Squamous%20Cell%20Carcinoma&highlight=carcinomatous%20cell%20squamous%20lung%20carcinoma%20pulmonary%20pulmonic	Cisplatin	C06911	http://www.kegg.jp/dbget-bin/www_bget?C06911	DB00515	https://www.drugbank.ca/drugs/DB00515	27899	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27899	Cisplatin treatment	Lung SCC patients	Human	up-regulated	25250788	https://www.ncbi.nlm.nih.gov/pubmed/?term=25250788		
AC006050.3	AC006050.3	https://www.ncbi.nlm.nih.gov/nuccore/AC006050.3	N/A	N/A	Lung Squamous Cell Carcinoma	211980	http://www.omim.org/entry/211980?search=Lung%20Squamous%20Cell%20Carcinoma&highlight=carcinomatous%20cell%20squamous%20lung%20carcinoma%20pulmonary%20pulmonic	Cisplatin	C06911	http://www.kegg.jp/dbget-bin/www_bget?C06911	DB00515	https://www.drugbank.ca/drugs/DB00515	27899	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27899	Cisplatin treatment	Lung SCC patients	Human	up-regulated	25250788	https://www.ncbi.nlm.nih.gov/pubmed/?term=25250788		
AC006050.3	AC006050.3	https://www.ncbi.nlm.nih.gov/nuccore/AC006050.3	N/A	N/A	Lung Squamous Cell Carcinoma	211980	http://www.omim.org/entry/211980?search=Lung%20Squamous%20Cell%20Carcinoma&highlight=carcinomatous%20cell%20squamous%20lung%20carcinoma%20pulmonary%20pulmonic	Cisplatin	C06911	http://www.kegg.jp/dbget-bin/www_bget?C06911	DB00515	https://www.drugbank.ca/drugs/DB00515	27899	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27899	Cisplatin treatment	Lung SCC patients	Human	up-regulated	25250788	https://www.ncbi.nlm.nih.gov/pubmed/?term=25250788		
AC006369.2	AC006369.2	https://www.ncbi.nlm.nih.gov/nuccore/AC006369.2	N/A	N/A	Prostate Cancer	176807	http://www.omim.org/entry/176807?search=Prostate%20Cancer&highlight=prostatic%20prostate%20cancerous%20cancer	Dihydrotestosterone (DHT)	D07456	http://www.genome.jp/dbget-bin/www_bget?drug:D07456	DB02901	https://www.drugbank.ca/drugs/DB02901	16330	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=16330	DHT treatment	LNCaP cell line	Human	down-regulated	27556357	https://www.ncbi.nlm.nih.gov/pubmed/?term=27556357		
AC007879.5	AC007879.5	https://www.ncbi.nlm.nih.gov/nuccore/AC007879.5	N/A	N/A	Osteoarthritis	140600	http://www.omim.org/entry/140600?search=Osteoarthritis&highlight=osteoarthriti	Interleukin-1¦Â (IL-1¦Â)	N/A	N/A	N/A	N/A	N/A	N/A	Interleukin-1¦Â (IL-1¦Â) stimulation	patients with hip OA, knee OA and fracture of the neck of the femur without OA.	Human	up-regulated	27023358	https://www.ncbi.nlm.nih.gov/pubmed/?term=27023358		
AC012668.2	AC012668.2	https://www.ncbi.nlm.nih.gov/nuccore/AC012668.2	N/A	N/A	Asthma	600807	http://www.omim.org/entry/600807?search=asthma&highlight=asthma	Dexamethasone	D00292	http://www.genome.jp/dbget-bin/www_bget?drug:D00292	DB01234	https://www.drugbank.ca/drugs/DB01234	41879	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=41879	Dexamethasone +?FCS treatment	ASM cells	Human	down-regulated	24886442	https://www.ncbi.nlm.nih.gov/pubmed/?term=24886442		
